emp_id,emp_name,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications
E747,Kelly Meza,S013,Financial Modeling,3,4,No
E1625,Shawn Rocha,S006,Python,5,2,Yes
E4373,Christine Choi,S002,React,7,6,Yes
E565,Dr. Chelsey Wallace,S012,Project Management,7,9,No
E3652,Gary Mendoza,S004,Docker,9,8,No
E2085,Sharon Hayes,S015,Risk Management,5,3,No
E2154,Paul Brown,S012,Project Management,,1,No
E733,Lisa Vargas,S002,React,,3,No
E4084,Morgan Mitchell,S011,Consulting Basics,5,4,No
E4555,Sheila Alexander,S001,JavaScript,2,2,Yes
E4101,Samantha Barnes,S009,Data Visualization,5,1,No
E718,Erin Hernandez,S002,React,5,3,No
E4157,Richard Smith,S009,Data Visualization,6,5,Yes
E4151,Colleen Flowers,S001,JavaScript,5,,Yes
E2582,Catherine White,S007,SQL,2,1,No
E861,Kristin Elliott,S008,Machine Learning,3,3,Yes
E3980,Tammy Shannon,S001,JavaScript,6,7,Yes
E4197,Katelyn Santiago,S010,Big Data,8,11,
E958,Carla Martin,S008,Machine Learning,,2,No
E4768,Debra Mcintosh,S014,Client Management,8,12,Yes
E3506,Carlos Robinson,S006,Python,4,2,No
E2626,Megan Caldwell,S012,Project Management,,4,No
E089,Nathan Warren,S011,Consulting Basics,7,9,No
E4323,Amy Green,S011,Consulting Basics,7,12,No
E1718,Mrs. Carol Dominguez,S003,Node.js,1,1,Yes
E1032,Reginald Mccullough,S005,HTML/CSS,10,10,
E1481,Brenda Wilson,S005,HTML/CSS,6,11,Yes
E787,Paul Myers,S006,Python,6,5,No
E2318,Terri Kirk,S012,Project Management,1,3,Yes
E2493,Brenda Howard,S004,Docker,2,4,Yes
E778,Lisa Holt,S008,Machine Learning,9,6,No
E574,Patricia Hays,S013,Financial Modeling,9,5,Yes
E387,Peter Webster,S004,Docker,2,4,Yes
E4594,Gina Ramirez,S004,Docker,1,1,No
E3541,Blake Lane,S009,Data Visualization,6,12,Yes
E2396,Steven Harvey,S014,Client Management,8,8,No
E1501,Jennifer Gomez,S012,Project Management,3,1,Yes
E3871,Alisha Jarvis,S009,Data Visualization,5,3,Yes
E2218,Donald Clark,S009,Data Visualization,2,4,No
E1603,Megan Donaldson,S002,React,3,1,Yes
E4837,Christopher Webster,S002,React,7,11,No
E440,Louis Carroll,S011,Consulting Basics,6,9,Yes
E2403,Jennifer Fox,S008,Machine Learning,9,8,No
E2433,Ryan Larsen,S012,Project Management,10,8,Yes
E3710,John Barnett,S012,Project Management,1,4,No
E1753,Sharon Roberson,S003,Node.js,2,3,No
E687,Richard Davis,S007,SQL,9,8,No
E1978,Phyllis Hester,S012,Project Management,8,6,Yes
E949,Bobby Bates,S012,Project Management,10,9,Yes
E135,Joseph Collins,S008,Machine Learning,1,2,Yes
E3073,Jennifer Lozano,S015,Risk Management,9,12,No
E2752,Margaret Singh,S011,Consulting Basics,10,9,Yes
E1023,Dylan Shepherd,S001,JavaScript,9,9,No
E4831,Andrew Browning,S015,Risk Management,3,4,No
E4819,Paul Sims,S009,Data Visualization,7,8,No
E4800,Sarah Sawyer,S014,Client Management,5,4,Yes
E2173,Brandi Kennedy,S009,Data Visualization,4,2,Yes
E3553,Jacqueline Fischer,S011,Consulting Basics,7,9,Yes
E015,Kelly Suarez,S004,Docker,3,4,Yes
E1250,James Pierce,S001,JavaScript,8,6,Yes
E1847,Andrew Scott,S006,Python,8,5,No
E1527,Sharon Richmond,S001,JavaScript,8,7,No
E171,Antonio Hess,S013,Financial Modeling,5,4,No
E2701,Trevor Watts,S007,SQL,7,9,Yes
E3249,Duane Miller,S010,Big Data,7,6,Yes
E1798,Alison Hopkins,S010,Big Data,6,8,Yes
E3324,Christina Whitaker,S005,HTML/CSS,8,6,No
E3903,Stephen Buchanan,S001,JavaScript,1,3,No
E178,Lauren Gonzalez,S015,Risk Management,9,6,Yes
E3853,Katrina Smith,S008,Machine Learning,1,2,No
E4969,Chelsea Reeves,S002,React,5,4,No
E1307,Jennifer Gibson,S005,HTML/CSS,9,9,No
E3180,James Mitchell,S008,Machine Learning,10,7,Yes
E2084,Daniel Richardson,S010,Big Data,2,4,No
E4678,Elizabeth Nguyen,S004,Docker,3,3,No
E804,Micheal Armstrong,S007,SQL,5,1,No
E2256,Aaron Anderson,S012,Project Management,7,9,Yes
E3916,Dana Lee,S002,React,3,3,No
E775,Daniel Hicks,S007,SQL,1,1,Yes
E107,Richard Pittman,S003,Node.js,1,4,No
E3080,Lee Lane,S013,Financial Modeling,6,9,No
E2492,Ariana Kirby,S004,Docker,6,10,No
E1491,Julie Larson,S002,React,7,10,Yes
E1574,Kristin Ward,S012,Project Management,8,6,Yes
E525,Mario Adams,S007,SQL,4,3,Yes
E996,Mark Ramsey,S014,Client Management,7,6,No
E142,Robert Moore,S015,Risk Management,4,3,Yes
E3069,Robert Cunningham,S008,Machine Learning,5,4,No
E2689,Patrick Larson,S006,Python,2,2,No
E746,Jeremy Wood PhD,S015,Risk Management,3,2,Yes
E4300,Stephanie Torres,S010,Big Data,8,10,No
E4638,Jennifer Roberts,S011,Consulting Basics,3,4,Yes
E3449,Christine Gonzales,S005,HTML/CSS,8,7,No
E4243,Luke King,S004,Docker,,1,Yes
E4331,James Erickson,S005,HTML/CSS,10,11,No
E3000,Mark Ross,S014,Client Management,7,11,Yes
E2241,Jeffrey Rivas,S003,Node.js,7,11,Yes
E525,Mario Adams,S004,Docker,4,4,
E956,Jeffrey Little,S006,Python,3,1,Yes
E3010,Laura Grant,S012,Project Management,7,9,Yes
E729,Marissa Chan,S005,HTML/CSS,5,1,No
E2934,Kimberly Hall,S003,Node.js,7,10,No
E475,Mark Jackson,S006,Python,9,8,Yes
E4574,Rebecca Leonard,S015,Risk Management,3,,No
E2274,Charles Henderson,S005,HTML/CSS,9,9,Yes
E1114,Jody Wu,S003,Node.js,6,7,Yes
E3104,Christine Johnson,S010,Big Data,8,10,No
E2334,Ricardo Hall,S014,Client Management,7,5,Yes
E3202,Danielle Gutierrez,S001,JavaScript,6,8,No
E4800,Sarah Sawyer,S009,Data Visualization,6,6,No
E2811,Bryce Griffin,S014,Client Management,5,4,Yes
E3947,Lindsey Vaughn,S015,Risk Management,1,1,No
E3408,Debra Romero,S007,SQL,9,6,Yes
E1825,Joseph Robinson,S006,Python,3,4,Yes
E4176,Ryan Dyer,S002,React,5,4,No
E1181,Jason Stephenson,S015,Risk Management,6,8,Yes
E1315,Jason Thompson,S006,Python,5,4,No
E752,Melanie Garrett,S014,Client Management,4,1,No
E958,Carla Martin,S002,React,2,2,No
E4514,Katelyn Gallegos,S007,SQL,10,7,Yes
E2158,Zachary Gonzalez,S010,Big Data,7,7,No
E517,Elizabeth Young,S001,JavaScript,3,4,No
E3227,Melissa Horn,S001,JavaScript,3,4,Yes
E4417,Patrick Wright,S002,React,1,4,No
E3421,Stephanie Martin,S003,Node.js,9,12,No
E2509,David Rice,S005,HTML/CSS,10,8,Yes
E2215,Jacqueline Edwards,S005,HTML/CSS,6,8,No
E2285,Matthew Silva,S012,Project Management,5,1,No
E2986,Melissa Miller,S010,Big Data,6,6,No
E4274,Michael Weiss,S004,Docker,1,4,Yes
E2671,Jamie Ayers,S002,React,7,12,No
E3494,Christopher Martinez,S014,Client Management,5,4,No
E4165,Kathleen Sampson,S014,Client Management,8,6,No
E4765,Katrina Oliver,S001,JavaScript,5,1,Yes
E083,Joseph Ball,S005,HTML/CSS,6,7,Yes
E686,Natalie Neal,S004,Docker,1,4,Yes
E4979,Todd Williams,S014,Client Management,7,10,No
E3620,James Harris,S011,Consulting Basics,10,7,No
E3601,Aaron Miller,S015,Risk Management,9,5,Yes
E3230,David Davis,S014,Client Management,6,6,No
E4336,Jessica Hanson,S013,Financial Modeling,4,3,No
E3408,Debra Romero,S005,HTML/CSS,8,8,Yes
E1183,Patricia Jackson,S006,Python,3,1,Yes
E2763,Ashley Potts,S005,HTML/CSS,6,12,No
E4969,Chelsea Reeves,S010,Big Data,7,6,Yes
E1588,James Potts,S010,Big Data,5,3,No
E2450,Jennifer Glover,S013,Financial Modeling,6,7,Yes
E451,Gary Ponce,S005,HTML/CSS,2,2,No
E1197,Aimee Murray,S014,Client Management,7,6,Yes
E4597,Joel Adams DDS,S005,HTML/CSS,7,11,No
E2337,Christian Benson,S012,Project Management,10,10,No
E3877,Betty Ellison,S001,JavaScript,8,9,Yes
E019,Alexandria Smith,S015,Risk Management,10,10,No
E2189,Jennifer Munoz,S012,Project Management,5,4,No
E627,Joseph Hebert Jr.,S011,Consulting Basics,1,4,Yes
E1431,Steven Davis,S006,Python,10,6,No
E4626,Bradley Daugherty,S012,Project Management,6,11,No
E3452,Jeremy Myers,S009,Data Visualization,8,7,Yes
E3175,Jennifer Hart,S004,Docker,8,9,No
E172,Jason Wade,S001,JavaScript,1,3,Yes
E4599,Marisa Allen,S002,React,2,2,Yes
E4689,Melvin Jimenez,S007,SQL,1,2,No
E1697,Joshua Marshall,S013,Financial Modeling,7,12,Yes
E689,Michael Cooper,S010,Big Data,2,1,Yes
E3917,Joanne Deleon,S009,Data Visualization,7,11,Yes
E2509,David Rice,S010,Big Data,8,10,Yes
E345,Luis Jones,S014,Client Management,6,12,Yes
E1100,Margaret Kennedy,S014,Client Management,8,7,Yes
E3855,Rachael Patterson,S004,Docker,6,8,No
E3404,Melissa Moon,S009,Data Visualization,9,5,Yes
E2342,Wanda Murray,S004,Docker,8,11,Yes
E799,Patrick Rhodes,S002,React,7,8,Yes
E1811,Anthony Alexander,S012,Project Management,5,4,Yes
E181,Jason Adams,S007,SQL,10,10,No
E1619,Troy Hahn,S004,Docker,4,4,No
E4821,Philip Romero,S001,JavaScript,1,4,No
E3970,Hunter May,S008,Machine Learning,7,10,Yes
E2133,Tammy Carter,S014,Client Management,4,1,No
E1809,Selena Camacho,S012,Project Management,1,1,Yes
E187,Jimmy Cantu,S001,JavaScript,3,4,Yes
E1103,Gary Evans,S008,Machine Learning,8,9,Yes
E3490,Lacey Williams,S013,Financial Modeling,,6,Yes
E1119,Michael Gaines,S009,Data Visualization,7,7,Yes
E2399,Diamond Paul,S003,Node.js,2,3,No
E3880,John Gomez,S003,Node.js,1,2,No
E429,Shawn Williams,S015,Risk Management,6,,No
E4102,Jason Moore,S007,SQL,4,4,Yes
E2158,Zachary Gonzalez,S004,Docker,3,2,No
E998,Stacie Mcintyre,S010,Big Data,5,1,Yes
E3347,Jessica Murray,S009,Data Visualization,9,9,Yes
E4328,Dr. George Mack,S010,Big Data,1,2,Yes
E3249,Duane Miller,S002,React,10,9,No
E873,Kevin Martinez,S015,Risk Management,8,9,Yes
E1655,Theresa Marquez,S005,HTML/CSS,9,12,No
E4875,Michelle Rice,S002,React,1,3,Yes
E154,Bridget Brown,S006,Python,1,4,No
E3127,John Saunders,S004,Docker,1,1,No
E1559,David Davis DDS,S001,JavaScript,2,3,No
E3288,Stephen Guzman,S012,Project Management,5,1,Yes
E2505,Darren Roach,S007,SQL,10,11,No
E2086,Beth Hernandez,S001,JavaScript,4,4,No
E1824,Rachel Taylor,S007,SQL,3,2,Yes
E1248,Danielle Peterson,S014,Client Management,5,4,No
E3701,Lisa Tate,S012,Project Management,2,3,Yes
E3117,John Williams,S008,Machine Learning,1,3,Yes
E1579,William Davis,S011,Consulting Basics,4,1,No
E404,Joseph Kennedy,S012,Project Management,3,1,No
E4941,Mary Williamson,S002,React,10,9,No
E1461,Christopher Smith,S004,Docker,1,1,Yes
E107,Richard Pittman,S015,Risk Management,9,7,Yes
E1880,Laura Hill,S008,Machine Learning,6,9,Yes
E1823,Christopher Rogers,S015,Risk Management,4,4,Yes
E184,Justin Thompson,S014,Client Management,10,6,No
E1180,Susan Garcia,S015,Risk Management,10,9,No
E1801,Tina Trujillo,S012,Project Management,8,11,No
E4426,David Larsen,S004,Docker,1,1,Yes
E2320,Miguel Evans,S001,JavaScript,4,3,No
E108,Francisco Brown,S004,Docker,7,6,Yes
E563,Jessica Contreras,S006,Python,9,6,Yes
E3092,Matthew Villanueva,S004,Docker,2,1,Yes
E1904,Nicholas Banks,S010,Big Data,4,4,No
E778,Lisa Holt,S012,Project Management,1,1,Yes
E205,Miranda Vaughn,S001,JavaScript,7,10,Yes
E2286,Jane Pruitt,S005,HTML/CSS,3,2,No
E2684,Morgan Chandler,S009,Data Visualization,2,3,No
E2220,Peggy Rojas,S004,Docker,9,5,No
E414,Dominique Smith,S011,Consulting Basics,8,5,No
E2232,Joshua Henderson,S010,Big Data,8,10,Yes
E298,Heather Randolph,S013,Financial Modeling,9,11,No
E3545,Joseph Flores,S014,Client Management,1,1,Yes
E3407,Emma Kelly,S008,Machine Learning,2,3,No
E2744,Heather Rodriguez,S004,Docker,3,2,Yes
E4062,Matthew Monroe,S002,React,2,3,Yes
E839,Cheyenne Parker,S014,Client Management,6,12,Yes
E1782,Tina Lloyd,S014,Client Management,3,3,Yes
E3230,David Davis,S002,React,2,2,No
E4543,Susan Case,S013,Financial Modeling,8,11,No
E1591,Jessica Hanson,S001,JavaScript,5,4,No
E2317,Brittany Smith,S008,Machine Learning,3,2,Yes
E4840,Austin Chapman,S002,React,7,12,No
E454,Benjamin Hogan,S014,Client Management,1,2,Yes
E1617,Benjamin Galloway,S012,Project Management,8,10,Yes
E1976,John Simon,S003,Node.js,4,3,No
E4492,Jesse Thompson,S013,Financial Modeling,5,2,Yes
E238,Emily Perez,S005,HTML/CSS,10,10,Yes
E2346,Kathleen Morris,S014,Client Management,6,5,Yes
E198,Paula Schmidt,S005,HTML/CSS,3,4,Yes
E1834,Sonya Palmer,S007,SQL,8,7,No
E565,Dr. Chelsey Wallace,S010,Big Data,3,2,Yes
E4761,Toni Stephens,S014,Client Management,9,12,Yes
E500,Sheri Black,S008,Machine Learning,2,1,No
E4734,Kimberly Robinson,S002,React,6,8,Yes
E1832,Gina Davenport,S005,HTML/CSS,2,4,Yes
E647,Dawn Thomas,S005,HTML/CSS,5,3,Yes
E2507,Derek Phillips,S005,HTML/CSS,10,6,Yes
E2065,Matthew Thomas,S010,Big Data,4,1,Yes
E2748,Peter Soto,S009,Data Visualization,10,10,Yes
E2862,Rebecca Jones,S008,Machine Learning,8,6,Yes
E3058,Elizabeth Spencer,S013,Financial Modeling,9,8,No
E3735,Michael Carter,S015,Risk Management,10,10,Yes
E4013,Anthony Dyer,S009,Data Visualization,2,3,No
E2420,Jeremiah Smith,S002,React,9,5,Yes
E1737,Tiffany Trevino,S006,Python,9,9,Yes
E3397,Aaron Dunn,S003,Node.js,9,10,No
E4242,Cindy Olson,S004,Docker,7,6,No
E2625,Melanie Mendoza,S005,HTML/CSS,10,5,Yes
E3747,Steven Suarez,S004,Docker,5,2,Yes
E465,Jonathan Hernandez,S002,React,6,9,Yes
E1379,Meghan Smith,S011,Consulting Basics,7,7,Yes
E1518,Steven Jennings,S004,Docker,3,3,No
E3247,Deborah Lynch,S001,JavaScript,4,4,No
E3312,Jeremy Wallace,S011,Consulting Basics,9,9,No
E2571,John Lloyd,S015,Risk Management,8,10,No
E405,Mr. Jason Marshall,S001,JavaScript,2,4,
E2427,Katrina Pierce,S006,Python,2,4,Yes
E1250,James Pierce,S003,Node.js,7,9,No
E1036,Katie Gould,S011,Consulting Basics,9,8,Yes
E2419,Matthew King,S015,Risk Management,5,4,No
E4210,Lisa King,S001,JavaScript,4,1,Yes
E3232,Denise Terry,S011,Consulting Basics,4,3,Yes
E4116,Shelby Ballard,S015,Risk Management,8,6,No
E2718,Brandi Sandoval,S013,Financial Modeling,5,2,No
E2900,Michael Nelson,S001,JavaScript,6,9,Yes
E2158,Zachary Gonzalez,S011,Consulting Basics,2,2,
E2736,Morgan Lewis,S005,HTML/CSS,9,11,No
E377,Micheal Henderson,S015,Risk Management,10,11,No
E1097,Paul Myers,S006,Python,1,3,Yes
E2045,Lawrence Hernandez,S009,Data Visualization,4,1,Yes
E1075,Timothy Johnson,S004,Docker,9,6,No
E4995,Samantha Oconnell,S014,Client Management,5,4,Yes
E2910,Sarah Hall,S012,Project Management,5,3,No
E3311,Monique Chen,S015,Risk Management,5,1,No
E577,Vicki Peters,S010,Big Data,5,2,No
E483,Sean Lynn,S008,Machine Learning,9,7,No
E518,Sandra Garcia,S014,Client Management,6,9,No
E4894,Jeremy Kelly,S008,Machine Learning,3,2,Yes
