emp_id,emp_name,T_id,T_name,project_score,hackerrank_score,completed
E2082,Laurie Jones,T001,SQL Mastery,18,32,0
E467,Brooke Griffin,T002,React and Redux,32,8,0
E261,Kylie Moran,T003,Business Process Management,23,83,1
E699,John Beck,T004,Client Relationship Management,37,24,1
E3749,Paul Henderson,T005,Full-Stack Web Development,18,72,1
E716,Stephen Cain,T006,Financial Modeling,22,6,0
E3887,Michael Harrison,T007,Machine Learning Basics,5,28,0
E3675,Amy Smith,T008,Data Science Bootcamp,84,64,1
E4278,Monica Castaneda,T009,DevOps with Docker,24,20,0
E1343,Tamara Edwards,T010,Data Science Bootcamp,16,26,0
E3210,Angela Park,T011,Data Science Bootcamp,94,44,1
E4752,Eddie Hayes,T012,Node.js Masterclass,82,32,0
E3705,Benjamin Harrell,T013,Consulting Essentials,55,26,1
E3660,Tina Jones,T014,Advanced JavaScript,36,72,1
E1073,William Adams,T015,SQL Mastery,33,32,0
E3803,Mark Fletcher,T016,Financial Modeling,17,23,0
E092,Larry Lewis,T017,Advanced Data Visualization,82,65,0
E4881,Danielle Kelly,T018,Machine Learning Basics,73,53,1
E1938,David Palmer,T019,SQL Mastery,39,86,0
E2377,Julie Wells,T020,Full-Stack Web Development,97,83,1
E2701,Trevor Watts,T021,DevOps with Docker,39,4,0
E2412,Jennifer Wilson,T022,DevOps with Docker,7,40,1
E4190,Marissa Santos,T023,Consulting Essentials,33,6,0
E2974,Anna Williams,T024,Advanced Data Visualization,46,14,1
E924,Thomas James,T025,SQL Mastery,8,0,0
E1282,Kirsten Campbell,T026,Machine Learning Basics,40,19,0
E3866,Matthew Smith,T027,SQL Mastery,11,10,0
E2823,Amanda Turner,T028,Node.js Masterclass,22,6,1
E064,Sarah Evans,T029,Python for Data Analysis,2,13,0
E3531,Rebecca Hooper,T030,Data Science Bootcamp,9,35,0
E2563,John Mcdonald,T031,Node.js Masterclass,20,5,0
E3849,Michelle Chung,T032,Project Management for Consultants,19,29,0
E3011,Brittany Peters,T033,SQL Mastery,6,18,0
E4824,David Williams,T034,Machine Learning Basics,38,100,1
E2351,Benjamin Rodriguez,T035,Full-Stack Web Development,29,72,1
E1803,Jose Salazar,T036,Node.js Masterclass,42,41,1
E4713,John Adams,T037,Data Science Bootcamp,54,58,1
E1049,Renee Lewis,T038,Project Management for Consultants,10,1,0
E2100,Ronnie Ramirez,T039,SQL Mastery,34,3,0
E3800,Tamara Wood,T040,SQL Mastery,39,30,0
E851,Michael Anthony,T041,SQL Mastery,9,89,1
E4530,David Carpenter,T042,Advanced JavaScript,25,71,1
E520,Kevin Edwards,T043,SQL Mastery,13,32,0
E3864,Kristina Cook,T044,Python for Data Analysis,26,36,1
E711,Craig Sullivan,T045,Advanced JavaScript,39,32,0
E1288,Katrina Smith,T046,Client Relationship Management,49,39,1
E491,Jamie Fisher,T047,Python for Data Analysis,80,13,1
E935,Brian Wiley,T048,React and Redux,34,36,0
E3901,Eric White,T049,Business Process Management,58,56,1
E4981,James Bullock,T050,Advanced Data Visualization,9,40,0
E3465,Michael Espinoza,T051,SQL Mastery,13,10,1
E1268,John Jacobson,T052,Python for Data Analysis,4,21,0
E1459,Tracey Norton,T053,Node.js Masterclass,25,21,0
E823,Annette Shaw,T054,SQL Mastery,10,76,1
E4552,Rebecca Murray,T055,Advanced Data Visualization,11,39,0
E3926,Alison Rose,T056,Data Science Bootcamp,4,1,0
E1748,Mrs. Victoria Ortiz,T057,SQL Mastery,24,21,0
E4467,Breanna Park,T058,Client Relationship Management,38,55,1
E955,Jeremy Martin,T059,React and Redux,47,18,1
E2138,Nicholas Jackson,T060,Machine Learning Basics,26,10,0
E4800,Sarah Sawyer,T061,React and Redux,17,10,0
E113,Ethan Cruz,T062,Financial Modeling,24,0,1
E784,Jason Brooks,T063,Full-Stack Web Development,55,65,1
E3826,Lindsey Bruce,T064,Full-Stack Web Development,31,40,0
E2453,Ashley Fletcher,T065,React and Redux,3,96,1
E3012,Nathan Young,T066,Advanced JavaScript,96,75,1
E1536,James Brooks,T067,React and Redux,37,46,1
E4639,Samantha Jones,T068,Advanced JavaScript,63,41,1
E1183,Patricia Jackson,T069,Advanced Data Visualization,40,3,0
E2030,Michael Rogers,T070,Advanced Data Visualization,21,46,1
E087,Sara Price,T071,Advanced JavaScript,20,71,1
E089,Nathan Warren,T072,Advanced Data Visualization,19,19,0
E1529,Thomas Oliver,T073,React and Redux,30,28,0
E1323,Katherine Washington,T074,SQL Mastery,38,35,0
E4987,Joshua Castillo,T075,Data Science Bootcamp,2,67,1
E4117,Krista Bridges,T076,Advanced JavaScript,17,13,0
E1312,Drew Jones,T077,Advanced Data Visualization,5,36,0
E3339,Sherri Robinson,T078,Node.js Masterclass,86,67,1
E4564,Ricky Garcia,T079,SQL Mastery,85,21,1
E1840,Dawn Miller,T080,Full-Stack Web Development,56,80,1
E1659,Nicholas Gray,T081,Data Science Bootcamp,16,33,0
E865,Brittany Butler,T082,Advanced JavaScript,84,11,1
E165,Samantha Choi,T083,Advanced JavaScript,17,97,1
E3923,Judith Davidson,T084,React and Redux,70,19,1
E062,Diane Coffey,T085,Full-Stack Web Development,50,79,1
E3900,Melanie Simon,T086,Machine Learning Basics,15,2,0
E3236,Nicole Jackson,T087,Full-Stack Web Development,2,31,0
E549,Alvin Sanchez DDS,T088,Financial Modeling,97,32,0
E3254,Carol Osborne,T089,Advanced Data Visualization,26,41,1
E4026,Kevin Alexander,T090,Machine Learning Basics,94,71,0
E2536,Christina Bryant,T091,Python for Data Analysis,17,27,1
E4596,Albert Garcia,T092,Machine Learning Basics,17,25,1
E2937,Christopher Lambert,T093,Project Management for Consultants,23,72,1
E3648,Edward Rogers,T094,Advanced JavaScript,41,75,1
E4206,Jeffrey Gilbert,T095,Machine Learning Basics,50,79,1
E1329,Daniel Williams,T096,Machine Learning Basics,54,87,1
E3767,Dorothy Stone,T097,Advanced Data Visualization,3,39,0
E3300,William Riddle,T098,DevOps with Docker,25,76,0
E2665,Julie Smith,T099,Consulting Essentials,31,15,0
E1603,Megan Donaldson,T100,Machine Learning Basics,73,40,1
E4494,Patricia Johnson,T101,Python for Data Analysis,99,23,1
E2149,Dawn Sanchez,T102,SQL Mastery,17,28,0
E3119,Michael Smith,T103,Business Process Management,80,60,1
E3837,Kevin Morris,T104,Node.js Masterclass,58,67,1
E3255,Matthew Elliott,T105,Advanced JavaScript,33,31,0
E3314,Nicole Mcfarland,T106,Advanced JavaScript,4,28,0
E4228,John Long,T107,Consulting Essentials,15,73,1
E810,Stephanie Garcia,T108,Python for Data Analysis,71,47,0
E4993,Sandra Charles,T109,Client Relationship Management,12,75,1
E791,Billy Manning,T110,Project Management for Consultants,17,20,1
E1934,Christine Collier,T111,SQL Mastery,56,2,1
E1653,Karen Ponce MD,T112,SQL Mastery,25,36,0
E2766,Craig Grant,T113,Python for Data Analysis,9,2,1
E817,Taylor Garrett,T114,React and Redux,51,68,1
E1318,Kristen Romero,T115,Data Science Bootcamp,43,11,1
E3065,Michael Dean,T116,React and Redux,1,44,1
E3957,Billy Woodard,T117,Advanced Data Visualization,8,86,1
E3430,Adam Higgins,T118,Business Process Management,16,62,1
E1534,Alyssa Foster,T119,React and Redux,43,18,1
E712,Carrie Torres,T120,Data Science Bootcamp,32,40,0
E669,James Baldwin,T121,Machine Learning Basics,5,88,1
E1195,Zachary Phillips,T122,Data Science Bootcamp,18,10,1
E589,Kurt Sanchez,T123,React and Redux,31,69,1
E2398,Justin Ross,T124,Financial Modeling,92,15,1
E1589,Barbara Patel,T125,Machine Learning Basics,83,67,1
E2323,James Cunningham,T126,Advanced JavaScript,3,11,0
E895,John Shaffer,T127,SQL Mastery,86,9,1
E4438,Julie Gaines,T128,Advanced JavaScript,35,25,0
E1074,Catherine Ryan,T129,Client Relationship Management,31,8,1
E3096,Christian Schwartz,T130,Advanced JavaScript,9,80,1
E3762,Beverly Atkinson,T131,Consulting Essentials,25,36,1
E1627,Melissa Rivera,T132,SQL Mastery,26,18,1
E2811,Bryce Griffin,T133,Consulting Essentials,10,47,1
E410,Jennifer Roy,T134,Python for Data Analysis,88,9,1
E2640,Cindy Moore,T135,Data Science Bootcamp,91,23,1
E4188,Darren Wang,T136,Node.js Masterclass,18,88,1
E2244,Christopher Sanchez,T137,Consulting Essentials,66,82,1
E4239,Ronnie Solis,T138,Business Process Management,15,3,0
E857,Carl Mcdonald,T139,Python for Data Analysis,45,23,1
E1452,David Howard,T140,Data Science Bootcamp,11,30,0
E080,Melissa Wise,T141,SQL Mastery,30,15,0
E1648,Karen Hall,T142,SQL Mastery,2,25,0
E3933,Mary Huang,T143,Data Science Bootcamp,2,17,0
E1084,Valerie Nguyen,T144,Advanced JavaScript,35,17,0
E502,Jessica Horton,T145,Advanced Data Visualization,78,7,1
E3532,Debra Howard,T146,Consulting Essentials,2,86,1
E4710,William Barber,T147,Advanced Data Visualization,9,5,0
E2665,Julie Smith,T148,Machine Learning Basics,37,70,1
E4324,Patrick Cruz,T149,Python for Data Analysis,16,57,0
E2011,William Guerrero,T150,Full-Stack Web Development,11,35,0
E4225,Cory Perez,T151,SQL Mastery,18,61,1
E2887,Brandon Nguyen,T152,Project Management for Consultants,71,84,1
E1797,Laura Garza,T153,Data Science Bootcamp,23,25,0
E4829,Todd Gonzalez,T154,Machine Learning Basics,68,46,1
E2354,Louis Jones,T155,Data Science Bootcamp,19,27,1
E3464,Robert Stephens,T156,Project Management for Consultants,29,25,1
E3275,Austin Neal,T157,Node.js Masterclass,14,93,0
E611,Gabriel Evans,T158,Advanced Data Visualization,40,92,1
E353,Cody Novak,T159,Advanced Data Visualization,3,35,0
E830,Jeffery Harris,T160,Machine Learning Basics,1,22,0
E3481,Richard Chandler,T161,Full-Stack Web Development,56,60,1
E4722,Christine Gray,T162,DevOps with Docker,38,37,0
E1418,Mathew Smith,T163,Data Science Bootcamp,66,2,1
E2612,Rebecca Ho,T164,Advanced JavaScript,1,32,1
E1264,Dr. David Dickson MD,T165,Business Process Management,23,9,0
E4635,Kelli Barron,T166,Business Process Management,96,38,1
E2147,Aaron Obrien,T167,Client Relationship Management,4,10,0
E1307,Jennifer Gibson,T168,DevOps with Docker,11,19,0
E4180,David Smith,T169,Financial Modeling,23,6,0
E091,Jim Gill,T170,React and Redux,27,0,0
E1708,Paul Torres,T171,Node.js Masterclass,14,6,0
E2942,James Mcfarland,T172,Data Science Bootcamp,55,59,1
E863,Glenn Jimenez,T173,Consulting Essentials,0,14,0
E173,Brandon Jordan,T174,Client Relationship Management,16,35,0
E675,Amy Rivas,T175,Data Science Bootcamp,30,2,0
E3477,Roger Lang,T176,SQL Mastery,35,32,0
E3441,Deborah Booth DDS,T177,Consulting Essentials,3,27,1
E4357,Benjamin Phillips,T178,React and Redux,38,17,0
E285,Bruce Hill,T179,Advanced JavaScript,35,40,0
E4849,Angela Griffin,T180,Data Science Bootcamp,36,81,1
E5000,Charles Livingston,T181,Advanced Data Visualization,33,8,1
E1980,Dawn Miller,T182,SQL Mastery,16,44,1
E1800,Samuel Barrett,T183,Advanced Data Visualization,80,1,1
E3886,James Anderson,T184,Advanced Data Visualization,54,92,1
E3127,John Saunders,T185,Advanced JavaScript,16,34,0
E4641,Cory Benson,T186,Advanced Data Visualization,56,2,1
E2137,Tonya Hill,T187,Data Science Bootcamp,39,69,1
E1627,Melissa Rivera,T188,Business Process Management,55,65,1
E2001,Mitchell May,T189,DevOps with Docker,9,49,0
E915,Derek Weber,T190,Data Science Bootcamp,7,12,0
E1926,Lisa Singh,T191,Project Management for Consultants,2,13,0
E2169,Robert Mcgrath,T192,Node.js Masterclass,83,38,1
E4544,Seth Gillespie,T193,SQL Mastery,61,73,0
E4069,William Castillo,T194,Consulting Essentials,68,69,1
E3844,Diane Sims,T195,Client Relationship Management,19,11,0
E3753,Ashley Thomas,T196,React and Redux,70,51,1
E3787,William Walker,T197,React and Redux,26,12,0
E1119,Michael Gaines,T198,Client Relationship Management,4,14,0
E4979,Todd Williams,T199,Business Process Management,19,28,1
E4988,Danielle Huff,T200,Python for Data Analysis,14,29,0
E174,Jeremy Hanson,T201,React and Redux,63,97,1
E1183,Patricia Jackson,T202,Full-Stack Web Development,44,8,1
E641,Laura Lang,T203,React and Redux,68,54,1
E2454,Frank Lowery,T204,Data Science Bootcamp,3,40,1
E2560,Nicholas Miranda,T205,Project Management for Consultants,4,67,1
E3842,Kenneth Frederick,T206,Node.js Masterclass,24,32,0
E306,Blake Ross,T207,Full-Stack Web Development,17,31,0
E3273,Jonathan Booker,T208,Full-Stack Web Development,36,14,0
E2639,Terri Brennan,T209,Client Relationship Management,94,18,1
E772,Ricky Fowler,T210,Advanced JavaScript,36,20,0
E4902,Tricia Beard,T211,Node.js Masterclass,20,62,1
E1878,Michele Brown,T212,Client Relationship Management,39,25,0
E3912,Thomas Page,T213,Machine Learning Basics,74,62,1
E2160,Janice Flores,T214,Node.js Masterclass,25,39,0
E3729,Sara Shepherd,T215,Financial Modeling,1,7,0
E1694,Christopher Mcdonald,T216,Data Science Bootcamp,5,26,0
E003,Larry Waters,T217,Python for Data Analysis,2,9,0
E3312,Jeremy Wallace,T218,Advanced Data Visualization,7,38,0
E586,Brian Powers,T219,Node.js Masterclass,1,35,0
E2310,Amanda Powell,T220,SQL Mastery,43,90,1
E4629,Dr. Mary Jones,T221,React and Redux,71,27,1
E2098,Michael Bell,T222,Python for Data Analysis,72,89,1
E3179,Mary Davis,T223,DevOps with Docker,59,75,1
E2810,Robert Jones,T224,Machine Learning Basics,23,59,1
E903,Amanda Jackson,T225,Project Management for Consultants,2,90,1
E3020,Kathy Goodman,T226,Advanced Data Visualization,18,9,0
E4871,Corey Jones,T227,Machine Learning Basics,39,16,0
E4031,Tracey Dodson,T228,Machine Learning Basics,28,12,0
E2713,Jacob Atkins,T229,Full-Stack Web Development,16,83,1
E3478,Melissa Schmidt,T230,Client Relationship Management,22,42,1
E1322,Erik Orozco DDS,T231,Machine Learning Basics,1,4,0
E1779,Kyle King,T232,Node.js Masterclass,25,40,0
E1751,Johnathan Moran,T233,Advanced Data Visualization,28,1,0
E2030,Michael Rogers,T234,Python for Data Analysis,4,28,0
E241,Pamela Simon,T235,Financial Modeling,12,27,0
E1261,Julie Wallace,T236,Full-Stack Web Development,7,51,1
E1004,Rebecca Gomez,T237,SQL Mastery,67,32,1
E2305,Diana Black,T238,Project Management for Consultants,37,71,1
E2937,Christopher Lambert,T239,Node.js Masterclass,40,30,0
E223,Andrew Mendoza,T240,Data Science Bootcamp,15,32,0
E4070,Cassidy Barnes,T241,SQL Mastery,74,5,1
E352,Benjamin Alexander,T242,SQL Mastery,27,18,0
E104,Michelle Ayala,T243,Client Relationship Management,4,72,0
E1300,Kimberly Davis,T244,Machine Learning Basics,11,16,0
E3863,Kenneth Benjamin,T245,Advanced Data Visualization,37,23,0
E2503,Dustin Spence,T246,Machine Learning Basics,42,41,1
E2129,Melissa Grant,T247,Python for Data Analysis,32,20,0
