emp_id,emp_name,department,designation,DOJ,age,experience,salary,no_of_promotions,education
E001,Sharon Burns,Finance,Senior Developer,2006-11-22,45,11.0,95402.0,1.0,Bachelors
E002,Hannah Sanchez,Finance,Senior Developer,2010-02-25,41,11.0,89438.0,3.0,Masters
E003,Larry Waters,Marketing,Senior Developer,2019-10-19,44,11.0,91396.0,2.0,Masters
E004,Angela Delacruz,Sales,Junior Developer,2014-08-27,24,2.0,23081.0,0.0,Bachelors
E005,John Cook,HR,Junior Developer,2009-11-20,24,2.0,22370.0,0.0,Masters
E006,Keith Webb,HR,Mid-level Developer,2020-02-12,30,6.0,55738.0,3.0,Bachelors
E007,John Compton,Sales,Mid-level Developer,2023-04-03,38,6.0,54856.0,0.0,Masters
E008,Nicholas Miller,Sales,Manager,2006-09-03,48,20.0,118923.0,3.0,Masters
E009,Alisha Brown,Sales,Mid-level Developer,2021-06-17,36,6.0,50873.0,2.0,Bachelors
E010,Kelly Taylor,Marketing,Senior Developer,2013-11-25,31,10.0,,1.0,Masters
E011,Christopher Green,Sales,Mid-level Developer,2005-09-22,37,6.0,68301.0,0.0,MBA
E012,Angela West,Finance,Manager,2009-09-06,50,20.0,97050.0,0.0,MBA
E013,Stephanie Martinez,Finance,Junior Developer,2012-06-25,25,4.0,38347.0,3.0,Bachelors
E014,Catherine Jones,Finance,Senior Developer,2018-07-15,42,11.0,96075.0,1.0,Bachelors
E015,Kelly Suarez,HR,Mid-level Developer,2015-02-04,25,5.0,42104.0,2.0,MBA
E016,Adam Mccoy,Finance,Mid-level Developer,2019-06-25,25,5.0,49519.0,2.0,Bachelors
E017,Travis Moore,Marketing,Senior Developer,2014-07-14,31,10.0,71500.0,2.0,Bachelors
E018,Patrick Little,Finance,Senior Developer,2016-02-01,40,11.0,95405.0,1.0,Masters
E019,Alexandria Smith,Finance,Senior Developer,2009-08-16,34,10.0,57333.0,3.0,Masters
E020,Aaron Miller,Engineering,Mid-level Developer,2024-09-07,36,6.0,53311.0,3.0,Bachelors
E021,Laura Clarke,Finance,Senior Developer,2008-03-28,46,11.0,113066.0,2.0,MBA
E022,Benjamin Johnston,Marketing,Manager,2014-03-31,40,20.0,91368.0,0.0,MBA
E023,Laurie Johnson,Engineering,Mid-level Developer,2017-05-11,29,5.0,39618.0,1.0,Masters
E024,Ryan Mullins,Engineering,Senior Developer,2007-08-04,39,10.0,62526.0,2.0,MBA
E025,Tara Robertson,Finance,Senior Developer,2005-08-24,37,10.0,,1.0,Bachelors
E026,Heather Park,Engineering,Mid-level Developer,2021-01-24,37,6.0,50554.0,2.0,MBA
E027,Jesus Davies,HR,Senior Developer,2005-03-03,40,11.0,100085.0,1.0,Masters
E028,Barry Johnson,Finance,Senior Developer,2024-04-25,45,11.0,115918.0,1.0,Bachelors
E029,Felicia Case,Sales,Manager,2010-12-13,42,20.0,80192.0,0.0,Bachelors
E030,Dylan Beard,Engineering,Manager,2020-12-04,44,20.0,117309.0,2.0,Masters
E031,Wendy Pruitt,Sales,Senior Developer,2005-12-19,41,11.0,102243.0,0.0,Bachelors
E032,David Taylor,Finance,Senior Developer,2007-03-15,49,11.0,118300.0,1.0,Masters
E033,Jason Stein,Engineering,Manager,2013-06-29,48,20.0,113726.0,0.0,Masters
E034,Larry Chen,Marketing,Junior Developer,2005-03-05,25,3.0,44898.0,3.0,MBA
E035,Tiffany Austin,Marketing,Senior Developer,2009-05-28,42,11.0,97943.0,0.0,Masters
E036,Andrea Johnson,Marketing,Senior Developer,2020-01-17,48,11.0,111707.0,1.0,MBA
E037,Karen Lewis,HR,Junior Developer,2010-07-11,22,2.0,33006.0,0.0,MBA
E038,Gregory Baker,Engineering,Mid-level Developer,2017-03-25,32,,70355.0,3.0,Masters
E039,Audrey Sanchez,Sales,Mid-level Developer,2017-11-01,37,6.0,69829.0,3.0,Masters
E040,Grant Sharp,HR,Senior Developer,2017-09-22,30,10.0,77104.0,1.0,Masters
E041,Beth Howell,Sales,Mid-level Developer,2023-12-30,37,6.0,70534.0,2.0,Bachelors
